sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S0452915;Smartphone Motorola G14 Blue Celeste 4 GB RAM Unisoc 6,5\" 128 GB;https://cdnbigbuy.com/images/0840023248184_I01.jpg;-;0;1;0;5;548;1;-;96.52;0.00%;-;103.78;0.00%;
S9906369;Smartphone Samsung SM-A236B 6,6\" Octa Core 4 GB RAM 128 GB White;https://cdnbigbuy.com/images/8806094534009_S9906369_P00.jpg;-;0;1;0;5;16;1;-;184.04;0.00%;-;197.89;0.00%;
S5628212;Smartphone Samsung 6 GB RAM 128 GB Black Navy Blue;https://cdnbigbuy.com/images/8806095457888_S5628212_P10.jpg;-;0;1;0;5;27;1;-;269.79;0.00%;-;290.10;0.00%;
S0452356;Smartphone Cubot X70 12 GB RAM 6,5\" 256 GB;https://cdnbigbuy.com/images/6924136719244_R01.jpg;-;0;1;0;5;19;1;-;180.97;0.00%;-;192.52;0.00%;
S0452354;Smartphone Cubot KING KONG 9 12 GB RAM 6,5\" Black 256 GB;https://cdnbigbuy.com/images/6924136719220_R01.jpg;-;0;1;0;5;8;1;-;220.80;0.00%;-;234.89;0.00%;
S7607381;Mobile telephone for older adults Panasonic KX-TU110EXC 1,77\" TFT Bluetooth LED Blue;https://cdnbigbuy.com/images/5025232891863_S7607381_P01.jpg;-;1;1;0;5;0;1;-;21.68;0.00%;-;24.92;0.00%;
S0233303;Smartphone SPC Smart Ultimate 6\" Quad Core 3 GB RAM 32 GB;https://cdnbigbuy.com/images/8436542859585_S0233303_P01.jpg;-;0;1;0;5;11;1;-;80.43;0.00%;-;91.40;0.00%;
S9907307;Smartphone TCL T431D-2ALCA112-2 Quad Core MediaTek Helio A22 2 GB RAM 32 GB Black;https://cdnbigbuy.com/images/4894461953953_S9907307_P00.jpg;-;0;1;0;5;62;1;-;51.38;0.00%;-;59.06;0.00%;
S8101669;Smartphone Google Pixel 7 Black 6,3\" 128 GB;https://cdnbigbuy.com/images/0840244700652_S8101669_P02.jpg;-;0;1;0;5;26;1;-;333.41;0.00%;-;350.96;0.00%;
S9912238;Smartphone Samsung SM-S918BZKHEEB 6,8\" Octa Core 12 GB RAM 512 GB Black;https://cdnbigbuy.com/images/8806094915556_S9912238_P00.jpg;-;0;1;0;5;9;1;-;861.64;0.00%;-;926.49;0.00%;
S9906196;Smartphone Realme C55 6,72\" Golden 8 GB RAM 256 GB;https://cdnbigbuy.com/images/6941764409125_I00.jpg;-;0;1;0;5;15;1;-;144.88;0.00%;-;157.48;0.00%;
S5626395;Smartphone Xiaomi Note 11S 5G 6 GB RAM Black Midnight black;https://cdnbigbuy.com/images/6934177782992_S5626395_P00.jpg;-;0;1;0;5;7;1;-;151.97;0.00%;-;165.18;0.00%;
S0441238;Mobile phone SPC Jasper 2 4G 32 GB 32 GB 8 GB RAM Black;https://cdnbigbuy.com/images/8436542859547_R02.jpg;-;0;1;0;5;1;1;-;79.31;0.00%;-;86.21;0.00%;
S7830243;Smartphone Apple iPhone 15 Pro Max 6,7\" 1 TB Titanium;https://cdnbigbuy.com/images/0195949049989_S7830243_P00.jpg;-;0;1;0;5;2;1;-;1,635.42;0.00%;-;1,739.81;0.00%;
S8106945;Smartphone Poco;https://cdnbigbuy.com/images/6941812757963_S8106945_P00.jpg;-;0;1;0;5;220;1;-;293.44;0.00%;-;312.17;0.00%;
S8106164;Smartphone Xiaomi Redmi Note 11S 6,43\" 6 GB RAM 64 GB Grey;https://cdnbigbuy.com/images/6934177771309_I00.jpg;-;0;1;0;5;364;1;-;97.96;0.00%;-;105.33;0.00%;
S8105920;Smartphone Xiaomi Redmi Note 11S Black 6,6\" 128 GB 6 GB RAM;https://cdnbigbuy.com/images/6934177783401_R01.jpg;-;0;1;0;5;1079;1;-;119.44;0.00%;-;128.43;0.00%;
S8104562;Smartphone OnePlus Nord 3 256 GB 16 GB RAM 6,74\";https://cdnbigbuy.com/images/6921815625056_R01.jpg;-;0;1;0;5;226;1;-;289.20;0.00%;-;307.66;0.00%;
S8105731;Smartphone Apple iPhone 15 Pro Max 6,7\" 512 GB Titanium;https://cdnbigbuy.com/images/0195949049330_I20.jpg;-;0;1;0;5;5;1;-;1,268.86;0.00%;-;1,335.64;0.00%;
S8107271;Smartphone Realme C67 6,72\" 6 GB RAM 128 GB Black Qualcomm Snapdragon 665;https://cdnbigbuy.com/images/6941764422704_I00.jpg;-;0;1;0;5;539;1;-;120.28;0.00%;-;129.33;0.00%;
S8106466;Smartphone Xiaomi XIAREDMI13C128BL 128 GB 6 GB RAM ARM Cortex-A55 MediaTek Helio G85 Blue;https://cdnbigbuy.com/images/6941812752982_S8106466_P00.jpg;-;0;1;0;5;89;1;-;96.35;0.00%;-;103.60;0.00%;
S8101670;Smartphone Google Pixel 7 6,3\" White 8 GB RAM 8 GB 128 GB;https://cdnbigbuy.com/images/0840244700669_S8101670_P02.jpg;-;0;1;0;5;20;1;-;333.41;0.00%;-;350.96;0.00%;
S8106981;Smartphone Xiaomi 512 GB Black;https://cdnbigbuy.com/images/6941812750582_S8106981_P00.jpg;-;0;1;0;5;186;1;-;330.79;0.00%;-;348.20;0.00%;
S8102045;Smartphone Ulefone Power Armor X11 Pro Black 5,45\" 64 GB 4 GB RAM;https://cdnbigbuy.com/images/S8102045_6937748735014_P11.jpg;-;0;1;0;5;17;1;-;103.33;0.00%;-;111.11;0.00%;
S8104232;Smartphone Ulefone POWER ARMOR 19T 12 GB RAM 6,58“ Black;https://cdnbigbuy.com/images/S8104232_6937748735298_P01.jpg;-;1;1;0;5;14;1;-;349.18;0.00%;-;367.56;0.00%;
S9127866;Smartphone Samsung Galaxy S23 6,1\" 128 GB 8 GB RAM Green;https://cdnbigbuy.com/images/8806094724769_I01.jpg;-;0;1;0;5;10;1;-;464.91;0.00%;-;505.34;0.00%;
S8104112;Smartphone OnePlus CE 3 Lite 5G Lime 8 GB RAM 6,72\" 128 GB;https://cdnbigbuy.com/images/6921815624172_I01.jpg;-;0;1;0;5;216;1;-;146.29;0.00%;-;157.30;0.00%;
