Weight;AD(Andorra);AE(United Arab Emirates);AF(Afghanistan);AG(Antigua and Barbuda);AI(Anguilla);AL(Albania);AM(Armenia);AO(Angola);AR(Argentina);AS(American Samoa);AT(Austria);AU(Australia);AW(Aruba);AZ(Azerbaijan);BA(Bosnia and Herzegovina);BB(Barbados);BD(Bangladesh);BE(Belgium);BF(Burkina Faso);BG(Bulgaria);BH(Bahrain);BI(Burundi);BJ(Benin);BL(Saint Barthelemy);BM(Bermuda);BN(Brunei);BO(Bolivia);BR(Brazil);BS(Bahamas);BT(Bhutan);BW(Botswana);BY(Belarus);BZ(Belize);CA(Canada);CD(Congo, Dem. Republic);CF(Central African Republic);CG(Congo, Republic);CH(Switzerland);CI(Ivory Coast);CK(Cook Islands);CL(Chile);CM(Cameroon);CN(China);CO(Colombia);CR(Costa Rica);CU(Cuba);CV(Cape Verde);CY(Cyprus);CZ(Czech Republic);DE(Germany);DJ(Djibouti);DK(Denmark);DM(Dominica);DO(Dominican Republic);DZ(Algeria);EC(Ecuador);EE(Estonia);EG(Egypt);ER(Eritrea);ES(Spain);ET(Ethiopia);FI(Finland);FJ(Fiji);FM(Micronesia);FO(Faroe Islands);FR(France);GA(Gabon);GB(United Kingdom);GD(Grenada);GE(Georgia);GF(French Guiana);GG(Guernsey);GH(Ghana);GI(Gibraltar);GL(Greenland);GM(Gambia);GN(Guinea);GP(Guadeloupe);GQ(Equatorial Guinea);GR(Greece);GT(Guatemala);GU(Guam);GW(Guinea-Bissau);GY(Guyana);HK(HongKong);HN(Honduras);HR(Croatia);HT(Haiti);HU(Hungary);ID(Indonesia);IE(Ireland);IL(Israel);IN(India);IQ(Iraq);IR(Iran);IS(Iceland);IT(Italy);JE(Jersey);JM(Jamaica);JO(Jordan);JP(Japan);KE(Kenya);KG(Kyrgyzstan);KH(Cambodia);KI(Kiribati);KM(Comoros);KR(South Korea);KW(Kuwait);KY(Cayman Islands);KZ(Kazakhstan);LA(Laos);LB(Lebanon);LC(Saint Lucia);LI(Liechtenstein);LK(Sri Lanka);LR(Liberia);LS(Lesotho);LT(Lithuania);LU(Luxemburg);LV(Latvia);LY(Libya);MA(Morocco);MC(Monaco);MD(Moldova);ME(Montenegro);MF(Saint Martin);MG(Madagascar);MH(Marshall Islands);MK(Macedonia);ML(Mali);MM(Burma (Myanmar));MN(Mongolia);MO(Macau);MP(Northern Mariana Islands);MQ(Martinique);MR(Mauritania);MS(Montserrat);MT(Malta);MU(Mauritius);MV(Maldives);MW(Malawi);MX(Mexico);MY(Malaysia);MZ(Mozambique);NA(Namibia);NC(New Caledonia);NE(Niger);NG(Nigeria);NI(Nicaragua);NL(Netherlands);NO(Norway);NP(Nepal);NR(Nauru);NU(Niue);NZ(New Zealand);OM(Oman);PA(Panama);PE(Peru);PF(French Polynesia);PG(Papua New Guinea);PH(Philippines);PK(Pakistan);PL(Poland);PR(Puerto Rico);PS(Palestinian Territories);PT(Portugal);PW(Palau);PY(Paraguay);QA(Qatar);RE(Reunion Island);RO(Romania);RS(Serbia);RU(Russian Federation);RW(Rwanda);SA(Saudi Arabia);SB(Solomon Islands);SC(Seychelles);SD(Sudan);SE(Sweden);SG(Singapore);SI(Slovenia);SK(Slovakia);SL(Sierra Leone);SM(San Marino);SN(Senegal);SO(Somalia);SR(Suriname);ST(São Tomé and Príncipe);SV(El Salvador);SY(Syria);SZ(Swaziland);TC(Turks and Caicos Islands);TD(Chad);TG(Togo);TH(Thailand);TJ(Tajikistan);TL(East Timor);TM(Turkmenistan);TN(Tunisia);TO(Tonga);TR(Turkey);TT(Trinidad and Tobago);TV(Tuvalu);TW(Taiwan);TZ(Tanzania);UA(Ukraine);UG(Uganda);US(United States);UY(Uruguay);UZ(Uzbekistan);VC(Saint Vincent and the Grenadines);VE(Venezuela);VG(Virgin Islands (British));VI(Virgin Islands (U.S.));VN(Vietnam);VU(Vanuatu);WF(Wallis and Futuna);WS(Samoa);YE(Yemen);YT(Mayotte);ZA(South Africa);ZM(Zambia);ZW(Zimbabwe) 
235;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1069.2;1823.44;2458.99;1823.44;164.5;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;162.86;128.66;2748.72;164.5;1640.31;1640.31;1823.44;1640.31;194.93;1823.44;1823.44;79.84;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;565.46;1823.44;80.63;1069.2;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;204.45;1640.31;176.25;1640.31;166.85;1823.44;1640.31;1823.44;1823.44;206.78;128.66;136.3;1640.31;1823.44;1640.31;1823.44;1823.44;2748.72;1823.44;2748.72;1640.31;1823.44;1640.31;1497.8;1823.44;1823.44;1823.44;165.32;1640.31;1823.44;1823.44;209.15;119.85;194.93;1823.44;216.55;155.1;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1760.3;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1069.2;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;162.15;1069.2;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1497.8;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;176.25;176.25;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2748.72;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2748.72;763.7;1640.31;1497.8;1823.44;1640.31;1640.31;1640.31;1640.31;2748.72;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
236;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1073.6;1823.44;2467.67;1823.44;165.2;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;163.55;128.66;2758.34;165.2;1640.31;1640.31;1823.44;1640.31;195.76;1823.44;1823.44;80.18;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;567.41;1823.44;80.63;1073.6;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;205.32;1640.31;177;1640.31;167.56;1823.44;1640.31;1823.44;1823.44;206.78;128.66;136.88;1640.31;1823.44;1640.31;1823.44;1823.44;2758.34;1823.44;2758.34;1640.31;1823.44;1640.31;1504;1823.44;1823.44;1823.44;166.03;1640.31;1823.44;1823.44;210.04;120.36;195.76;1823.44;216.55;155.76;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1767.6;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1073.6;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;162.84;1073.6;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1504;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;177;177;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2758.34;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2758.34;766.8;1640.31;1504;1823.44;1640.31;1640.31;1640.31;1640.31;2758.34;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
237;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1078;1823.44;2476.35;1823.44;165.9;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;164.24;128.66;2767.97;165.9;1640.31;1640.31;1823.44;1640.31;196.59;1823.44;1823.44;80.51;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;569.35;1823.44;80.63;1078;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;206.19;1640.31;177.75;1640.31;168.27;1823.44;1640.31;1823.44;1823.44;206.78;128.66;137.46;1640.31;1823.44;1640.31;1823.44;1823.44;2767.97;1823.44;2767.97;1640.31;1823.44;1640.31;1510.2;1823.44;1823.44;1823.44;166.73;1640.31;1823.44;1823.44;210.3;120.87;196.59;1823.44;216.55;156.42;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1774.9;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1078;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;163.53;1078;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1510.2;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;177.75;177.75;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2767.97;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2767.97;769.9;1640.31;1510.2;1823.44;1640.31;1640.31;1640.31;1640.31;2767.97;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
238;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1082.4;1823.44;2485.02;1823.44;166.6;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;164.93;128.66;2777.59;166.6;1640.31;1640.31;1823.44;1640.31;197.42;1823.44;1823.44;80.85;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;571.3;1823.44;80.63;1082.4;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;207.06;1640.31;178.5;1640.31;168.98;1823.44;1640.31;1823.44;1823.44;206.78;128.66;138.04;1640.31;1823.44;1640.31;1823.44;1823.44;2777.59;1823.44;2777.59;1640.31;1823.44;1640.31;1516.4;1823.44;1823.44;1823.44;167.43;1640.31;1823.44;1823.44;210.3;121.38;197.42;1823.44;216.55;157.08;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1782.2;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1082.4;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;164.22;1082.4;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1516.4;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;178.5;178.5;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2777.59;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2777.59;773;1640.31;1516.4;1823.44;1640.31;1640.31;1640.31;1640.31;2777.59;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
239;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1086.8;1823.44;2493.7;1823.44;167.3;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;165.63;128.66;2787.22;167.3;1640.31;1640.31;1823.44;1640.31;198.25;1823.44;1823.44;81.19;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;573.25;1823.44;80.63;1086.8;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;207.93;1640.31;179.25;1640.31;169.69;1823.44;1640.31;1823.44;1823.44;206.78;128.66;138.62;1640.31;1823.44;1640.31;1823.44;1823.44;2787.22;1823.44;2787.22;1640.31;1823.44;1640.31;1522.6;1823.44;1823.44;1823.44;168.14;1640.31;1823.44;1823.44;210.3;121.89;198.25;1823.44;216.55;157.74;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1789.5;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1086.8;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;164.91;1086.8;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1522.6;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;179.25;179.25;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2787.22;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2787.22;776.1;1640.31;1522.6;1823.44;1640.31;1640.31;1640.31;1640.31;2787.22;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
240;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1091.2;1823.44;2502.37;1823.44;168;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;166.32;128.66;2796.84;168;1640.31;1640.31;1823.44;1640.31;199.08;1823.44;1823.44;81.53;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;575.19;1823.44;80.63;1091.2;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;208.8;1640.31;180;1640.31;170.4;1823.44;1640.31;1823.44;1823.44;206.78;128.66;139.2;1640.31;1823.44;1640.31;1823.44;1823.44;2796.84;1823.44;2796.84;1640.31;1823.44;1640.31;1528.8;1823.44;1823.44;1823.44;168.84;1640.31;1823.44;1823.44;210.3;122.4;199.08;1823.44;216.55;158.4;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1796.8;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1091.2;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;165.6;1091.2;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1528.8;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;180;180;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2796.84;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2796.84;779.2;1640.31;1528.8;1823.44;1640.31;1640.31;1640.31;1640.31;2796.84;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
241;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1095.6;1823.44;2511.05;1823.44;168.7;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;167.01;128.66;2806.47;168.7;1640.31;1640.31;1823.44;1640.31;199.91;1823.44;1823.44;81.87;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;577.14;1823.44;80.63;1095.6;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;209.67;1640.31;180.75;1640.31;171.11;1823.44;1640.31;1823.44;1823.44;206.78;128.66;139.78;1640.31;1823.44;1640.31;1823.44;1823.44;2806.47;1823.44;2806.47;1640.31;1823.44;1640.31;1535;1823.44;1823.44;1823.44;169.54;1640.31;1823.44;1823.44;210.3;122.91;199.91;1823.44;216.55;159.06;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1804.1;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1095.6;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;166.29;1095.6;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1535;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;180.75;180.75;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2806.47;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2806.47;782.3;1640.31;1535;1823.44;1640.31;1640.31;1640.31;1640.31;2806.47;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
242;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1100;1823.44;2519.72;1823.44;169.4;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;167.71;128.66;2816.09;169.4;1640.31;1640.31;1823.44;1640.31;200.74;1823.44;1823.44;82.21;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;579.09;1823.44;80.63;1100;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;210.54;1640.31;181.5;1640.31;171.82;1823.44;1640.31;1823.44;1823.44;206.78;128.66;140.36;1640.31;1823.44;1640.31;1823.44;1823.44;2816.09;1823.44;2816.09;1640.31;1823.44;1640.31;1541.2;1823.44;1823.44;1823.44;170.25;1640.31;1823.44;1823.44;210.3;123.42;200.74;1823.44;216.55;159.72;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1811.4;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1100;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;166.98;1100;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1541.2;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;181.5;181.5;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2816.09;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2816.09;785.4;1640.31;1541.2;1823.44;1640.31;1640.31;1640.31;1640.31;2816.09;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
243;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1104.4;1823.44;2528.4;1823.44;170.1;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;168.4;128.66;2825.72;170.1;1640.31;1640.31;1823.44;1640.31;201.57;1823.44;1823.44;82.55;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;581.04;1823.44;80.63;1104.4;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;211.41;1640.31;182.25;1640.31;172.53;1823.44;1640.31;1823.44;1823.44;206.78;128.66;140.94;1640.31;1823.44;1640.31;1823.44;1823.44;2825.72;1823.44;2825.72;1640.31;1823.44;1640.31;1547.4;1823.44;1823.44;1823.44;170.95;1640.31;1823.44;1823.44;210.3;123.93;201.57;1823.44;216.55;160.38;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1818.7;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1104.4;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;167.67;1104.4;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1547.4;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;182.25;182.25;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2825.72;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2825.72;788.5;1640.31;1547.4;1823.44;1640.31;1640.31;1640.31;1640.31;2825.72;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
244;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1108.8;1823.44;2537.08;1823.44;170.8;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;169.09;128.66;2835.34;170.8;1640.31;1640.31;1823.44;1640.31;202.4;1823.44;1823.44;82.89;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;582.98;1823.44;80.63;1108.8;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;212.28;1640.31;183;1640.31;173.24;1823.44;1640.31;1823.44;1823.44;206.78;128.66;141.52;1640.31;1823.44;1640.31;1823.44;1823.44;2835.34;1823.44;2835.34;1640.31;1823.44;1640.31;1553.6;1823.44;1823.44;1823.44;171.65;1640.31;1823.44;1823.44;210.3;124.44;202.4;1823.44;216.55;161.04;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1108.8;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;168.36;1108.8;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1553.6;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;183;183;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2835.34;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2835.34;791.6;1640.31;1553.6;1823.44;1640.31;1640.31;1640.31;1640.31;2835.34;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
245;127.43;1432.46;1823.44;1640.31;1640.31;216.55;216.55;1823.44;1551.55;1823.44;128.66;1823.44;1640.31;216.55;216.55;1640.31;1640.31;127.43;1823.44;216.55;1823.44;1823.44;1823.44;1823.44;1640.31;1640.31;1640.31;1551.55;1640.31;1823.44;1823.44;216.55;1640.31;1113.2;1823.44;2545.75;1823.44;171.5;1823.44;1640.31;1551.55;1823.44;1640.31;1640.31;1640.31;1640.31;1823.44;206.78;169.79;128.66;2844.97;171.5;1640.31;1640.31;1823.44;1640.31;203.23;1823.44;1823.44;83.23;1823.44;206.78;1823.44;1823.44;216.55;127.43;1823.44;128.66;1640.31;216.55;1823.44;584.93;1823.44;80.63;1113.2;1823.44;1823.44;1640.31;1823.44;206.78;1640.31;1640.31;1823.44;1823.44;1640.31;1640.31;213.15;1640.31;183.75;1640.31;173.95;1823.44;1640.31;1823.44;1823.44;206.78;128.66;142.1;1640.31;1823.44;1640.31;1823.44;1823.44;2844.97;1823.44;2844.97;1640.31;1823.44;1640.31;1559.8;1823.44;1823.44;1823.44;172.36;1640.31;1823.44;1823.44;210.3;124.95;203.23;1823.44;216.55;161.7;216.55;216.55;1823.44;1823.44;1823.44;216.55;1823.44;1640.31;1823.44;1823.44;1823.44;1640.31;1823.44;1640.31;206.78;1823.44;1823.44;1823.44;1113.2;1640.31;1823.44;1823.44;1640.31;1823.44;1823.44;1640.31;127.43;206.78;1823.44;1640.31;3051.26;1823.44;1823.44;1640.31;1640.31;1823.44;1823.44;1640.31;1823.44;169.05;1113.2;1823.44;80.63;1823.44;1640.31;1823.44;1823.44;216.55;216.55;1559.8;1823.44;1823.44;1640.31;1823.44;1823.44;206.78;1640.31;183.75;183.75;1823.44;216.55;1823.44;3202.29;1640.31;1823.44;1640.31;1996.06;1823.44;1640.31;1823.44;1823.44;1640.31;1640.31;1823.44;2844.97;1823.44;1823.44;216.55;1640.31;1823.44;1640.31;1823.44;216.55;2844.97;794.7;1640.31;1559.8;1823.44;1640.31;1640.31;1640.31;1640.31;2844.97;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44;1823.44
